Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
WBERA,USD,RedStone Classic,RedStoneClassic_WBERA/USD,0xe6d9c66c0416c1c88ca5f777d81a7f424d4fa87b,0x6969696969696969696969696969696969696969,0x0000000000000000000000000000000000000348,Yes
WBERA,USD,Pyth,Pyth_WBERA/USD,0xcba35e68a1cb2f2ca0ca4895de33cd61a3b9dbc1,0x6969696969696969696969696969696969696969,0x0000000000000000000000000000000000000348,Yes
WBERA,USD,API3,API3_WBERA/USD,0xfc40b9415ff4591ec304f3c18509a6dc28c408ca,0x6969696969696969696969696969696969696969,0x0000000000000000000000000000000000000348,Yes
WETH,USD,RedStone Classic,RedStoneClassic_WETH/USD,0xf7129a6280dcfff6149792186b54c818ea4d80d6,0x2F6F07CDcf3588944Bf4C42aC74ff24bF56e7590,0x0000000000000000000000000000000000000348,Yes
WETH,USD,Pyth,Pyth_WETH/USD,0xbad0e1da7d39a21455acef570cf9f3a8881f5e23,0x2F6F07CDcf3588944Bf4C42aC74ff24bF56e7590,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,RedStone Classic,RedStoneClassic_WBTC/USD,0xf2b8616744502851343c52da76e9adfb97f08b91,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,Pyth,Pyth_WBTC/USD,0xfaaf6ed6dcd936da3f4ef105d326d6464529206f,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,0x0000000000000000000000000000000000000348,Yes
HONEY,USD,RedStone Classic,RedStoneClassic_HONEY/USD,0x997d72fb46690f304c7db92df9aa823323fb23b2,0xFCBD14DC51f0A4d49d5E53C2E0950e0bC26d0Dce,0x0000000000000000000000000000000000000348,Yes
HONEY,USD,Pyth,Pyth_HONEY/USD,0xed29690a4d7f1b63807957fb71149a8dcfd820a4,0xFCBD14DC51f0A4d49d5E53C2E0950e0bC26d0Dce,0x0000000000000000000000000000000000000348,Yes
USDC.e,USD,RedStone Classic,RedStoneClassic_USDC.e/USD,0x5ad9c6117ceb1981cfcb89beb6bd29c9157ab5b3,0x549943e04f40284185054145c6E4e9568C1D3241,0x0000000000000000000000000000000000000348,Yes
USDC.e,USD,Pyth,Pyth_USDC.e/USD,0xa436df7c3a77d88d1ec9275b5744bdcc187982f2,0x549943e04f40284185054145c6E4e9568C1D3241,0x0000000000000000000000000000000000000348,Yes
STONE,USD,RedStone Classic,RedStoneClassic_STONE/USD,0x255bee201d2526bbf2753df6a6057f23431a3e1c,0xEc901DA9c68E90798BbBb74c11406A32A70652C3,0x0000000000000000000000000000000000000348,Yes
STONE,USD,Pyth,Pyth_STONE/USD,0x74b221fac3000e94a3618357dda27d8333f3fc1e,0xEc901DA9c68E90798BbBb74c11406A32A70652C3,0x0000000000000000000000000000000000000348,Yes
