Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
swETH_FUNDAMENTAL,ETH,RedStone Classic,RedStoneClassic_swETH_FUNDAMENTAL/ETH,0x52F5B05f4Ef732e514d7905729205b334E6599c0,0x09341022ea237a4DB1644DE7CCf8FA0e489D85B7,0x4200000000000000000000000000000000000006,Yes
wstETH_FUNDAMENTAL,ETH,RedStone Classic,RedStoneClassic_wstETH_FUNDAMENTAL/ETH,0xf8c205B4C7780Fc6c841E3878c078ADaA30d067C,0x7c98E0779EB5924b3ba8cE3B17648539ed5b0Ecc,0x4200000000000000000000000000000000000006,Yes
ETH,USD,RedStone Classic,RedStoneClassic_ETH/USD,0x4db6B034fAa745cab945B2333EEcF7f3FbB07050,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,Yes
weETH_FUNDAMENTAL,ETH,RedStone Classic,RedStoneClassic_weETH_FUNDAMENTAL/ETH,0xdF3240f177CF38dEAaE0D25877d829f28F8F949C,0xA6cB988942610f6731e664379D15fFcfBf282b44,0x4200000000000000000000000000000000000006,Yes
rsETH_FUNDAMENTAL,ETH,RedStone Classic,RedStoneClassic_rsETH_FUNDAMENTAL/ETH,0x364Fe8AD2651BF0c7b2113b2471D8A681881DBB5,0xc3eACf0612346366Db554C991D7858716db09f58,0x4200000000000000000000000000000000000006,Yes
ezETH_FUNDAMENTAL,ETH,RedStone Classic,RedStoneClassic_ezETH_FUNDAMENTAL/ETH,0x98Ed206A4FFA6Ab8FeA8640a62A6bc60310dEE2e,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,Yes
pzETH_FUNDAMENTAL,ETH,RedStone Classic,RedStoneClassic_pzETH_FUNDAMENTAL/ETH,0xdF8806d1214549a105Eef41179Ce8502c17380C0,0x9cb41CD74D01ae4b4f640EC40f7A60cA1bCF83E7,0x4200000000000000000000000000000000000006,Yes
rswETH_FUNDAMENTAL,ETH,RedStone Classic,RedStoneClassic_rswETH_FUNDAMENTAL/ETH,0xbeA73C6a6b352b9b75731b4eA1776f5934bb9E05,0x18d33689AE5d02649a859A1CF16c9f0563975258,0x4200000000000000000000000000000000000006,Yes
USDe,USD,RedStone Classic,RedStoneClassic_USDe/USD,0x5FcDB65e84b81E3E6F714628fbB664e17D022059,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,Yes
swETH,USD,Cross,Cross_swETH/USD=RedStoneClassic_swETH_FUNDAMENTAL/ETH+RedStoneClassic_ETH/USD,0x8296Cb58de2170ae0Fc1bcC93e6b3a87f623F28d,0x09341022ea237a4DB1644DE7CCf8FA0e489D85B7,0x0000000000000000000000000000000000000348,Yes
wstETH,USD,Cross,Cross_wstETH/USD=RedStoneClassic_wstETH_FUNDAMENTAL/ETH+RedStoneClassic_ETH/USD,0x471ECcb0Bd738E63A8eE182395f19669080d292a,0x7c98E0779EB5924b3ba8cE3B17648539ed5b0Ecc,0x0000000000000000000000000000000000000348,Yes
weETH,USD,Cross,Cross_weETH/USD=RedStoneClassic_weETH_FUNDAMENTAL/ETH+RedStoneClassic_ETH/USD,0x3bC250889fA32E2FBD74c5a9ba08aD259BC31863,0xA6cB988942610f6731e664379D15fFcfBf282b44,0x0000000000000000000000000000000000000348,Yes
rsETH,USD,Cross,Cross_rsETH/USD=RedStoneClassic_rsETH_FUNDAMENTAL/ETH+RedStoneClassic_ETH/USD,0xa21c0446dC79Ff2961046EBC3A6a2276F53ebE68,0xc3eACf0612346366Db554C991D7858716db09f58,0x0000000000000000000000000000000000000348,Yes
ezETH,USD,Cross,Cross_ezETH/USD=RedStoneClassic_ezETH_FUNDAMENTAL/ETH+RedStoneClassic_ETH/USD,0x37F08c53D2a06102622DEbe0A91237f2859772a2,0x2416092f143378750bb29b79eD961ab195CcEea5,0x0000000000000000000000000000000000000348,Yes
rswETH,USD,Cross,Cross_rswETH/USD=RedStoneClassic_rswETH_FUNDAMENTAL/ETH+RedStoneClassic_ETH/USD,0xD10DB1B72EF93fa91e1e11E0f5b9197bf56B5d65,0x18d33689AE5d02649a859A1CF16c9f0563975258,0x0000000000000000000000000000000000000348,Yes
pzETH,USD,Cross,Cross_pzETH/USD=RedStoneClassic_pzETH_FUNDAMENTAL/ETH+RedStoneClassic_ETH/USD,0xE77c2Ffd7b529d87A4A64253C547185f1Ec9Ab43,0x9cb41CD74D01ae4b4f640EC40f7A60cA1bCF83E7,0x0000000000000000000000000000000000000348,Yes
SWELL,ETH,RedStone Classic,RedStoneClassic_SWELL/ETH,0x9ec0Ffd3BD7eFdC7598Fb60D8Bc43DC15f8ff37b,0x2826D136F5630adA89C1678b64A61620Aab77Aea,0x4200000000000000000000000000000000000006,Yes
sUSDe_FUNDAMENTAL,USD,RedStone Classic,RedStoneClassic_sUSDe_FUNDAMENTAL/USD,0x695201D868d36eCddEc26Fe68524f5C0A6db178C,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,Yes
USDe,USD,Fixed Rate,FixedRate_USDe/USD,0x77058369f63B5fc0648c6999473C49840D5F3b94,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,Yes
SWELL,USD,Cross,Cross_SWELL/USD=RedStoneClassic_SWELL/ETH+RedStoneClassic_ETH/USD,0x8b3b51edFB179E71651E74338F956280d6626852,0x2826D136F5630adA89C1678b64A61620Aab77Aea,0x0000000000000000000000000000000000000348,Yes
msETH,WETH,Fixed Rate,FixedRate_msETH/WETH,0x7e262cd6226328aaf4ea5c993a952e18dd633bc8,0x4661407fC224E5432D7f528a20EF8906E453A8f3,0x4200000000000000000000000000000000000006,Yes
msETH,USD,Cross,Cross_msETH/USD,0x74b77011c244bd7edff34e4cbf23fe41defa313d,0x4661407fC224E5432D7f528a20EF8906E453A8f3,0x0000000000000000000000000000000000000348,Yes
