Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
WAVAX,USD,Chainlink,Chainlink_WAVAX/USD,0xfaaf6ed6dcd936da3f4ef105d326d6464529206f,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Chainlink,Chainlink_USDC/USD,0x997d72fb46690f304c7db92df9aa823323fb23b2,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,0x0000000000000000000000000000000000000348,Yes
USDt,USD,Chainlink,Chainlink_USDt/USD,0xed29690a4d7f1b63807957fb71149a8dcfd820a4,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7,0x0000000000000000000000000000000000000348,Yes
AUSD,USD,Chainlink,Chainlink_AUSD/USD,0x5ad9c6117ceb1981cfcb89beb6bd29c9157ab5b3,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,0x0000000000000000000000000000000000000348,Yes
BTC.b,USD,Chainlink,Chainlink_BTC.b/USD,0xa436df7c3a77d88d1ec9275b5744bdcc187982f2,0x152b9d0FdC40C096757F570A51E494bd4b943E50,0x0000000000000000000000000000000000000348,Yes
JOE,USD,Chainlink,Chainlink_JOE/USD,0x255bee201d2526bbf2753df6a6057f23431a3e1c,0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd,0x0000000000000000000000000000000000000348,Yes
sAVAX,USD,Chainlink,Chainlink_sAVAX/USD,0x74b221fac3000e94a3618357dda27d8333f3fc1e,0x2b2C81e08f1Af8835a78Bb2A90AE924ACE0eA4bE,0x0000000000000000000000000000000000000348,Yes
WETH.e,USD,Chainlink,Chainlink_WETH.e/USD,0x0505c3f2b1c74ad84f4556a0b5a73386e6286d4e,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,0x0000000000000000000000000000000000000348,Yes
SolvBTC,USD,Chainlink,Chainlink_SolvBTC/USD,0x63ee8491f9ca4826d70196af16f25199d211ea48,0xbc78D84Ba0c46dFe32cf2895a19939c86b81a777,0x0000000000000000000000000000000000000348,Yes
SolvBTC.BBN,SolvBTC,Chainlink,Chainlink_SolvBTC.BBN/SolvBTC,0xe5908cbd7b3bc2648b32ce3dc8dfad4d83afd1b4,0xCC0966D8418d412c599A6421b760a847eB169A8c,0xbc78D84Ba0c46dFe32cf2895a19939c86b81a777,Yes
avUSD,USD,Fixed Rate,FixedRate_avUSD/USD,0xb92b9341be191895e8c68b170ac4528839ffe0b2,0x24dE8771bC5DdB3362Db529Fc3358F2df3A0E346,0x0000000000000000000000000000000000000348,Yes
sBUIDL,USD,Fixed Rate,FixedRate_sBUIDL/USD,0x575ffc02361368a2708c00bc7e299d1cd1c89f8a,0xaEb1FA0853c7C98EAb10fcF0EA669aE3d07FBB10,0x0000000000000000000000000000000000000348,Yes
SolvBTC.BBN,USD,Cross,Cross_SolvBTC.BBN/USD,0x16fcc1d29833b4c46fa7c7232b0c613034c0242e,0xCC0966D8418d412c599A6421b760a847eB169A8c,0x0000000000000000000000000000000000000348,Yes
savUSD,avUSD,ExternalVault,ExternalVault_savUSD/avUSD,0x06d47F3fb376649c3A9Dafe069B3D6E35572219E,0x06d47F3fb376649c3A9Dafe069B3D6E35572219E,0x24dE8771bC5DdB3362Db529Fc3358F2df3A0E346,Yes
ggAVAX,WAVAX,Pyth,Pyth_ggAVAX/WAVAX,0xe8a784f4bdcd4707baf4068e72887888ad58c033,0xA25EaF2906FA1a3a13EdAc9B9657108Af7B703e3,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,Yes
ggAVAX,USD,Cross,Cross_ggAVAX/USD,0x73bf80c6e9812f8ebc3dc4cbe45247e631d8c44c,0xA25EaF2906FA1a3a13EdAc9B9657108Af7B703e3,0x0000000000000000000000000000000000000348,Yes
deUSD,USD,Fixed Rate,FixedRate_deUSD/USD,0x073e9bd08e2053ac1748b7a698bae874232eae71,0xB57B25851fE2311CC3fE511c8F10E868932e0680,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Pyth,Pyth_USDC/USD,0xea54cb65326958dd2f6d1464636edc0bc4c258ec,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,0x0000000000000000000000000000000000000348,Yes
