Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
S,USD,Chainlink,Chainlink_S/USD,0xc59486164BDFEe0843DB80d2987Ec0E1028f7D84,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Chainlink,Chainlink_USDC/USD,0xdC2492409Ef8A0574cf567232b8B55919505e0Ea,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x0000000000000000000000000000000000000348,Yes
ETH,USD,Chainlink,Chainlink_ETH/USD,0xF9347838C10F72332c1b64080743350069233395,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,0x0000000000000000000000000000000000000348,Yes
OS,S,Fixed Rate,FixedRate_OS/S,0x9ea47747F72F2AAdcF3c2250cEc820c47BEd03F0,0xb1e25689D55734FD3ffFc939c4C3Eb52DFf8A794,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,No
WSTKSCETH,SCETH,Pyth,Pyth_WSTKSCETH/SCETH,0x0E44629b6CD146A525507F995bFB335045E1E6a7,0xE8a41c62BB4d5863C6eadC96792cFE90A1f37C47,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,No
WSTKSCUSD,SCUSD,Pyth,Pyth_WSTKSCUSD/SCUSD,0x0250917Ae8C612bA47275aF7D591e1eB1D121799,0x9fb76f7ce5FCeAA2C42887ff441D46095E494206,0xd3DCe716f3eF535C5Ff8d041c1A41C3bd89b97aE,No
STS_FUNDAMENTAL,S,RedStone Classic,RedStoneClassic_STS_FUNDAMENTAL/S,0xd396d5080490Cab4b491552ABd18f4Cd7A1D86dE,0xE5DA20F15420aD15DE0fa650600aFc998bbE3955,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,No
SCETH_FUNDAMENTAL,ETH,RedStone Classic,RedStoneClassic_SCETH_FUNDAMENTAL/ETH,0x4d27110bB9f488f1ED9d85613242B642a3c8AA74,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,No
SCUSD_FUNDAMENTAL,USD,RedStone Classic,RedStoneClassic_SCUSD_FUNDAMENTAL/USD,0x5ec86ad76f29a278E8F1373927Af4854be54A963,0xd3DCe716f3eF535C5Ff8d041c1A41C3bd89b97aE,0x0000000000000000000000000000000000000348,Yes
WSTKSCUSD,USD,Cross,Cross_WSTKSCUSD/USD=Pyth_WSTKSCUSD/SCUSD+RedstoneClassic_SCUSD_FUNDAMENTAL/USD,0xc32F6c8423d4c90d4E29Fb62832c3DDFDEdFc12E,0x9fb76f7ce5FCeAA2C42887ff441D46095E494206,0x0000000000000000000000000000000000000348,Yes
STS,USD,Cross,Cross_STS/USD=RedstoneClassic_STS_FUNDAMENTAL/S+Chainlink_S/USD,0x2c1bc59F07af5D3dFA556bbaE60179B54DE27b4d,0xE5DA20F15420aD15DE0fa650600aFc998bbE3955,0x0000000000000000000000000000000000000348,Yes
SCETH,USD,Cross,Cross_SCETH/USD=RedstoneClassic_SCETH_FUNDAMENTAL/ETH+Chainlink_ETH/USD,0x56A39f7907Ca26D87f8183193528d74503Ef9B11,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,0x0000000000000000000000000000000000000348,Yes
OS,USD,Cross,Cross_OS/USD=FixedRate_OS/S+Chainlink_S/USD,0xf62820B7E0146cC436d99f962450c5cDDca3Db35,0xb1e25689D55734FD3ffFc939c4C3Eb52DFf8A794,0x0000000000000000000000000000000000000348,Yes
