Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
ETH,USD,Chainlink,Chainlink_ETH/USD,0x10674C8C1aE2072d4a75FE83f1E159425fd84E1D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Chainlink,Chainlink_USDC/USD,0x6213f24332D35519039f2afa7e3BffE105a37d3F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x0000000000000000000000000000000000000348,Yes
USDT,USD,Chainlink,Chainlink_USDT/USD,0x587CABe0521f5065b561A6e68c25f338eD037FF9,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0000000000000000000000000000000000000348,Yes
STETH,USD,Chainlink,Chainlink_STETH/USD,0x1B965dB157027423b493328CbddeF2335063897b,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x0000000000000000000000000000000000000348,Yes
wstETH,STETH,Lido,Lido_wstETH/STETH,0xd1DD0C964B0d137498C630B8b7fEd1F88631FFF3,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Yes
ETH,USD,Chronicle,Chronicle_ETH/USD,0x956C9b887cB8779140EED942fa91f51B13Bd1b86,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,Yes
MKR,USD,Chronicle,Chronicle_MKR/USD,0x5c5B67D71559744d5d1DbB2c9C282761919A25Cf,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0x0000000000000000000000000000000000000348,Yes
WSTETH,USD,Chronicle,Chronicle_WSTETH/USD,0x9Ee335e15692317A4fAdb221feA0AFfe48953130,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000348,Yes
1INCH,ETH,Chainlink,Chainlink_1INCH/ETH,0x0409951BaF30bfAd7EC3c2584CBCB120f816b31B,0x111111111117dc0aa78b770fa6a738034120c302,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Yes
1INCH,USD,Chainlink,Chainlink_1INCH/USD,0x8F63048De9e67B90F43D6879168f49527b795d54,0x111111111117dc0aa78b770fa6a738034120c302,0x0000000000000000000000000000000000000348,Yes
AAVE,ETH,Chainlink,Chainlink_AAVE/ETH,0x175eCF37C049c089e44A6C195519f0Ed4368A370,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Yes
AAVE,USD,Chainlink,Chainlink_AAVE/USD,0x86141c87044EBCAf02957a61DEc696722A420119,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x0000000000000000000000000000000000000348,Yes
EURA,EUR,Chainlink,Chainlink_EURA/EUR,0x4d0d1B45834e8185e7ddB4aD8Fc64884fa8e6D5D,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x00000000000000000000000000000000000003d2,Yes
