Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
WBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_WBTC/USD,0xc8228b83f1d97a431a48bd9bc3e971c8b418d889,0x927B51f251480a681271180DA4de28D44EC4AfB8,0x0000000000000000000000000000000000000348,Yes
WETH,USD,Chainlink Infrequent,ChainlinkInfrequent_WETH/USD,0xf5c2dfd1740d18ad7cf23fba76cc11d877802937,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,Yes
USD₮0,USD,Chainlink Infrequent,ChainlinkInfrequent_USD₮0/USD,0x5939ee098eb6d411c3727b78ee665771f5cb0501,0x9151434b16b9763660705744891fA906F660EcC5,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Chainlink Infrequent,ChainlinkInfrequent_USDC/USD,0xd544ccb6f2231bd1ccac0258cba89e8a13d4a421,0x078D782b760474a361dDA0AF3839290b0EF57AD6,0x0000000000000000000000000000000000000348,Yes
UNI,USD,Chainlink Infrequent,ChainlinkInfrequent_UNI/USD,0x7e262cd6226328aaf4ea5c993a952e18dd633bc8,0x8f187aA05619a017077f5308904739877ce9eA21,0x0000000000000000000000000000000000000348,Yes
wstETH,WETH,Chainlink Infrequent,ChainlinkInfrequent_wstETH/WETH,0xd0dab9edb2b1909802b03090efbf14743e7ff967,0xc02fE7317D4eb8753a02c35fe019786854A92001,0x4200000000000000000000000000000000000006,Yes
weETH,WETH,Chainlink Infrequent,ChainlinkInfrequent_weETH/WETH,0x74b77011c244bd7edff34e4cbf23fe41defa313d,0x7DCC39B4d1C53CB31e1aBc0e358b43987FEF80f7,0x4200000000000000000000000000000000000006,Yes
rsETH,WETH,Chainlink Infrequent,ChainlinkInfrequent_rsETH/WETH,0xe6d9c66c0416c1c88ca5f777d81a7f424d4fa87b,0xc3eACf0612346366Db554C991D7858716db09f58,0x4200000000000000000000000000000000000006,Yes
ezETH,WETH,Chainlink Infrequent,ChainlinkInfrequent_ezETH/WETH,0xcba35e68a1cb2f2ca0ca4895de33cd61a3b9dbc1,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,Yes
wstETH,USD,Cross,Cross_wstETH/USD,0xfc40b9415ff4591ec304f3c18509a6dc28c408ca,0xc02fE7317D4eb8753a02c35fe019786854A92001,0x0000000000000000000000000000000000000348,Yes
weETH,USD,Cross,Cross_weETH/USD,0xf7129a6280dcfff6149792186b54c818ea4d80d6,0x7DCC39B4d1C53CB31e1aBc0e358b43987FEF80f7,0x0000000000000000000000000000000000000348,Yes
rsETH,USD,Cross,Cross_rsETH/USD,0xbad0e1da7d39a21455acef570cf9f3a8881f5e23,0xc3eACf0612346366Db554C991D7858716db09f58,0x0000000000000000000000000000000000000348,Yes
ezETH,USD,Cross,Cross_ezETH/USD,0xf2b8616744502851343c52da76e9adfb97f08b91,0x2416092f143378750bb29b79eD961ab195CcEea5,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,RedStone Classic,RedStoneClassic_WBTC/USD,0x997d72fb46690f304c7db92df9aa823323fb23b2,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,0x0000000000000000000000000000000000000348,Yes
ezETH,WETH,Chronicle,Chronicle_ezETH/WETH,0x255bee201d2526bbf2753df6a6057f23431a3e1c,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,Yes
rsETH,WETH,Chronicle,Chronicle_rsETH/WETH,0x0505c3f2b1c74ad84f4556a0b5a73386e6286d4e,0xc3eACf0612346366Db554C991D7858716db09f58,0x4200000000000000000000000000000000000006,Yes
