Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
SolvBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_SolvBTC/USD,0xf5c2dfd1740d18ad7cf23fba76cc11d877802937,0x541FD749419CA806a8bc7da8ac23D346f2dF8B77,0x0000000000000000000000000000000000000348,Yes
SolvBTC.BBN,USD,Chainlink Infrequent,ChainlinkInfrequent_SolvBTC.BBN/USD,0x5939ee098eb6d411c3727b78ee665771f5cb0501,0xCC0966D8418d412c599A6421b760a847eB169A8c,0x0000000000000000000000000000000000000348,Yes
tBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_tBTC/USD,0xd544ccb6f2231bd1ccac0258cba89e8a13d4a421,0xBBa2eF945D523C4e2608C9E1214C2Cc64D4fc2e2,0x0000000000000000000000000000000000000348,Yes
uniBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_uniBTC/USD,0x7e262cd6226328aaf4ea5c993a952e18dd633bc8,0x236f8c0a61dA474dB21B693fB2ea7AAB0c803894,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_WBTC/USD,0xd0dab9edb2b1909802b03090efbf14743e7ff967,0x03C7054BCB39f7b2e5B2c7AcB37583e32D70Cfa3,0x0000000000000000000000000000000000000348,Yes
USDC.e,USD,Chainlink Infrequent,ChainlinkInfrequent_USDC.e/USD,0x74b77011c244bd7edff34e4cbf23fe41defa313d,0xe75D0fB2C24A55cA1e3F96781a2bCC7bdba058F0,0x0000000000000000000000000000000000000348,Yes
SolvBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_SolvBTC/USD,0xe6d9c66c0416c1c88ca5f777d81a7f424d4fa87b,0x541FD749419CA806a8bc7da8ac23D346f2dF8B77,0x0000000000000000000000000000000000000348,Yes
SolvBTC.BBN,USD,Chainlink Infrequent,ChainlinkInfrequent_SolvBTC.BBN/USD,0xfc40b9415ff4591ec304f3c18509a6dc28c408ca,0xCC0966D8418d412c599A6421b760a847eB169A8c,0x0000000000000000000000000000000000000348,Yes
tBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_tBTC/USD,0xf7129a6280dcfff6149792186b54c818ea4d80d6,0xBBa2eF945D523C4e2608C9E1214C2Cc64D4fc2e2,0x0000000000000000000000000000000000000348,Yes
uniBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_uniBTC/USD,0xbad0e1da7d39a21455acef570cf9f3a8881f5e23,0x236f8c0a61dA474dB21B693fB2ea7AAB0c803894,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_WBTC/USD,0xf2b8616744502851343c52da76e9adfb97f08b91,0x03C7054BCB39f7b2e5B2c7AcB37583e32D70Cfa3,0x0000000000000000000000000000000000000348,Yes
USDC.e,USD,Chainlink Infrequent,ChainlinkInfrequent_USDC.e/USD,0xfaaf6ed6dcd936da3f4ef105d326d6464529206f,0xe75D0fB2C24A55cA1e3F96781a2bCC7bdba058F0,0x0000000000000000000000000000000000000348,Yes
HybridBTC.pendle,USD,Chainlink Infrequent,ChainlinkInfrequent_HybridBTC.pendle/USD,0x997d72fb46690f304c7db92df9aa823323fb23b2,0x9998e05030Aee3Af9AD3df35A34F5C51e1628779,0x0000000000000000000000000000000000000348,Yes
LBTC,USD,Chainlink Infrequent,ChainlinkInfrequent_LBTC/USD,0xed29690a4d7f1b63807957fb71149a8dcfd820a4,0xA45d4121b3D47719FF57a947A9d961539Ba33204,0x0000000000000000000000000000000000000348,Yes
