Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
AERO,USD,Chainlink,Chainlink_AERO/USD,0x1e9F00350dA443A0FB532C1CD130487dDa504193,0x940181a94A35A4569E4529A3CDfB74e38FD98631,0x0000000000000000000000000000000000000348,Yes
EZETH,ETH_EXCHANGE_RATE,Chainlink,Chainlink_EZETH/ETH_EXCHANGE_RATE,0x599F480B12C891c98448116c01901C21a506C6a5,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,Yes
RETH,ETH,Rate Provider,RateProvider_RETH/ETH,0xdF5D82F07907C6ae725E66851d93B481197Bf339,0xB6fe221Fe9EeF5aBa221c348bA20A1Bf5e73624c,0x4200000000000000000000000000000000000006,Yes
EZETH,USD,Cross,Cross_EZETH/USD=Chainlink_EZETH/ETH_EXCHANGE_RATE+Chainlink_ETH/USD,0x90Ab7611f96a6E07695a3EcB2BcB18b9C2a8F335,0x2416092f143378750bb29b79eD961ab195CcEea5,0x0000000000000000000000000000000000000348,Yes
RETH,USD,Cross,Cross_RETH/USD=RateProvider_RETH/ETH+Chainlink_ETH/USD,0x1cE7ec8636b70CC82978bD01e1AB8eA853e2Aacc,0xB6fe221Fe9EeF5aBa221c348bA20A1Bf5e73624c,0x0000000000000000000000000000000000000348,Yes
USR,USD,Fixed Rate,FixedRate_USR/USD,0xC20dC7913CbFd893e486CFf33CA20fA15Cc2cDaa,0x35E5dB674D8e93a03d814FA0ADa70731efe8a4b9,0x0000000000000000000000000000000000000348,Yes
CBBTC_FUNDAMENTAL,USD,Chainlink,Chainlink_CBBTC_FUNDAMENTAL/USD,0x27208F64626b294542d1aCBA6bB56950cfDa15B7,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000348,Yes
PT-LBTC-29MAY2025,CBBTC,Pendle,Pendle_PT-LBTC-29MAY2025/CBBTC,0xaAbfFEC2Decac5fE7A2C3C84a7C2381168F0004b,0x5d746848005507DA0b1717C137A10C30AD9ee307,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,Yes
PT-LBTC-29MAY2025,USD,Cross,Cross_PT-LBTC-29MAY2025/USD=Pendle_PT-LBTC-29MAY2025/CBBTC+Chainlink_CBBTC_FUNDAMENTAL/USD,0x4Db9Ec089929F08e6eab73A8b003d728B212C692,0x5d746848005507DA0b1717C137A10C30AD9ee307,0x0000000000000000000000000000000000000348,Yes
LBTC,BTC,Fixed Rate,FixedRate_LBTC/BTC,0x4bF339959E546D5Ed6aD68d32d5670976C9b0d30,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,Yes
LBTC,USD,Cross,Cross_LBTC/USD=FixedRate_LBTC/BTC+Chainlink_BTC/USD,0x075E6ffE3De2104c964bE36cedAC33477Ad39621,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0x0000000000000000000000000000000000000348,Yes
PT-USR-24APR2025,USR,Pendle,Pendle_PT-USR-24APR2025/USR,0xaD630626c8555965307e8A2C0Df6FEe700032648,0xec443e7E0e745348E500084892C89218B3ba4683,0x35E5dB674D8e93a03d814FA0ADa70731efe8a4b9,Yes
PT-USR-24APR2025,USD,Cross,Cross_PT-USR-24APR2025/USD=Pendle_PT-USR-24APR2025/USR+FixedRate_USR/USD,0x008919Bae8935499817A9E3B0bD4e48Ef2e24Ea0,0xec443e7E0e745348E500084892C89218B3ba4683,0x0000000000000000000000000000000000000348,Yes
USDS,USD,Chainlink,Chainlink_USDS/USD,0x847BD1550634c35Ea5d6528B0414e0BE69584010,0x820C137fa70C8691f0e44Dc420a5e53c168921Dc,0x0000000000000000000000000000000000000348,Yes
SUSDS,USDS,Pyth,Pyth_SUSDS/USDS,0x64F9a04610b1CeA9E7a628bFA161dC84975D6BC1,0x5875eEE11Cf8398102FdAd704C9E96607675467a,0x820C137fa70C8691f0e44Dc420a5e53c168921Dc,Yes
SUSDS,USD,Cross,Cross_SUSDS/USD=Pyth_SUSDS/USDS+Chainlink_USDS/USD,0xdbcC3537800134A316f8D01eDa38d07c8d34174c,0x5875eEE11Cf8398102FdAd704C9E96607675467a,0x0000000000000000000000000000000000000348,Yes
cbBTC,USD,Chainlink,Chainlink_cbBTC/USD,0xedcd625e06c487a68b5d9f2a5b020e9be00b95a7,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000348,Yes
wrsETH,WETH,Chainlink,Chainlink_wrsETH/WETH,0x3f85ad6c5eb255241d132da62fe304fd1122c01b,0xEDfa23602D0EC14714057867A78d01e94176BEA0,0x4200000000000000000000000000000000000006,Yes
bsdETH,WETH,Chainlink Infrequent,ChainlinkInfrequent_bsdETH/WETH,0x41fc9424588681706f3cc6f0f0b8d2ade2420e47,0xCb327b99fF831bF8223cCEd12B1338FF3aA322Ff,0x4200000000000000000000000000000000000006,Yes
superOETHb,WETH,Fixed Rate,FixedRate_superOETHb/WETH,0x3a07d8fd7a442f41be09a49cb325553ed2fdef8a,0xDBFeFD2e8460a6Ee4955A68582F85708BAEA60A3,0x4200000000000000000000000000000000000006,Yes
mBASIS,USD,Chainlink Infrequent,ChainlinkInfrequent_mBASIS/USD,0x8a6a456540dd3848810c9a8437092813f9a6c0c2,0x1C2757c1FeF1038428b5bEF062495ce94BBe92b2,0x0000000000000000000000000000000000000348,Yes
mTBILL,USD,Chainlink Infrequent,ChainlinkInfrequent_mTBILL/USD,0xe1d81fa1844af639211bd0b88cd8953de8e85493,0xDD629E5241CbC5919847783e6C96B2De4754e438,0x0000000000000000000000000000000000000348,Yes
eUSD,USD,Fixed Rate,FixedRate_eUSD/USD,0x63ff844e38aba474a4a0f21dfdb16a6d1bdbd1b1,0xCfA3Ef56d303AE4fAabA0592388F19d7C3399FB4,0x0000000000000000000000000000000000000348,Yes
